path,size_mb,rows,cols_declared,cols_recovered,overall_missing_pct,integrity,confidence
common-data/SingCLoud/FreeText_FTA/VW_SCDB_ICD_F_Export_22-07-2024.csv,2.84,4043,128,131,47.5,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_SCDB_INTERVENTION_BEFORE_T1_F_Export_22-07-2024.csv,84.22,62342,697,707,82.37,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_SCDB_INTERVENTION_DIM_F_Export_22-07-2024.csv,555.13,1634566,35,39,62.0,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_SCDB_INTERVENTION_F_Export_22-07-2024.csv,59.74,107689,156,158,36.9,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_SCDB_PPM_DIM_F_Export_22-07-2024.csv,17.92,35994,45,43,71.29,short,two-pass
common-data/SingCLoud/FreeText_FTA/VW_SCDB_PPM_F_Export_22-07-2024.csv,4.26,6434,111,125,42.69,over,two-pass
common-data/SingCLoud/FreeText_FTA/VW_SCDB_SURGERY_F_Export_22-07-2024.csv,9.61,8026,309,313,40.54,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_ADMIT_TYPE_D_Export_22-07-2024.csv,0.01,132,10,10,35.15,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_CASE_TYPE_D_Export_22-07-2024.csv,0.0,37,11,11,49.88,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_CIIMS_ECHO_FINDINGS_D_Export_22-07-2024.csv,208.76,1130597,10,10,16.56,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_CIIMS_ECHO_MEASUREMENTS_D_Export_22-07-2024.csv,1530.98,11520086,7,7,0.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_CIIMS_RHYTHM_D_Export_22-07-2024.csv,21.8,148278,8,8,5.35,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_CIIMS_WALLMOTION_D_Export_22-07-2024.csv,53.39,259487,26,26,4.09,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_DIAGNOSIS_CODE_D_Export_22-07-2024.csv,528.58,5286383,6,0,0.0,short,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_DIAGNOSIS_STATUS_D_Export_22-07-2024.csv,0.0,9,6,6,0.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_DIAGNOSIS_TYPE_D_Export_22-07-2024.csv,0.0,47,6,6,0.35,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_DISCHARGE_DISPOSITION_D_Export_22-07-2024.csv,0.05,527,6,6,0.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_DISPENSED_MEDICATION_CROSS_MAPS_MV2_D_Export_22-07-2024.csv,1188.97,4219826,19,19,0.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_DRG_D_Export_22-07-2024.csv,0.28,4137,4,4,0.01,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_DRUG_D_Export_06-08-2024.csv,51.04,399310,14,14,54.22,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_INSTITUTION_D_Export_22-07-2024.csv,0.66,9727,5,5,0.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_INV_RESULT_STATUS_D_Export_22-07-2024.csv,0.0,32,6,6,0.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_INV_SUBTYPE_D_Export_22-07-2024.csv,0.01,160,6,6,0.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_INV_TYPE_D_Export_22-07-2024.csv,0.02,177,6,6,0.09,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F-_Export_06-08-2024_P26.csv,2054.44,6254562,37,37,18.99,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export:_05-08-2024_P14.c5v,2248.85,6887095,37,37,19.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P1.csv,1524.35,4754230,37,37,19.01,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P10.csv,1471.74,4560956,37,37,19.02,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P11.csv,1848.32,5661909,37,37,18.98,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P12.csv,2053.53,6269176,37,36,19.01,short,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P13.csv,2228.36,6804777,37,37,19.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P15.csv,1606.98,4926182,37,37,19.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P16.csv,1689.86,5170972,37,37,19.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P17.csv,1651.05,5048694,37,36,19.0,short,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P18.C5v,1736.8,5320883,37,37,19.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P2.csv,1544.37,4806705,37,37,19.02,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P3.csv,1695.3,5269642,37,37,19.01,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P6.csv,1286.51,3972234,37,37,18.99,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_05-08-2024_P7.csv,1373.82,4263554,37,37,18.99,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024-_P29.csv,2193.82,6670998,37,37,18.97,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P19.csv,1829.06,5603762,37,38,19.0,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P20.csv,1738.72,5320699,37,37,19.0,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P21.csv,1845.58,5655943,37,39,18.98,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P22.csv,1888.16,5786580,37,38,18.99,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P23.csv,1938.02,5916678,37,38,18.99,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P24.csv,2008.02,6138965,37,38,19.0,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P25.csv,2051.15,6254820,37,38,18.99,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P27.csv,1852.47,5643354,37,37,18.98,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P28.csv,2074.26,6304264,37,37,18.97,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P30.csv,1697.03,5157608,37,39,18.96,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P31.c5v,1601.99,4859928,37,38,18.95,over,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P32.csv,1625.31,4944880,37,37,18.95,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P33.csv,1587.15,4808681,37,37,18.96,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P34.csv,1665.16,5042933,37,37,18.96,ok,two-pass
common-data/SingCLoud/NonFreeText_Files/VW_IP_BILLING_F_Export_06-08-2024_P35.csv,1630.91,4939721,37,38,18.96,over,two-pass
